code,name
89,"Europe, regional"
189,"North of Sahara, regional"
289,"South of Sahara, regional"
298,"Africa, regional"
380,"West Indies, regional"
389,"North and Central America, regional"
489,"South America, regional"
498,"America, regional"
589,"Middle East, regional"
619,"Central Asia, regional"
679,"South Asia, regional"
689,"South and Central Asia, regional"
789,"Far East Asia, regional"
798,"Asia, regional"
889,"Oceania, regional"
998,"Bilateral, unspecified"
