code,name
1,Money is disbursed through central Ministry of Finance or Treasury
2,Money is disbursed directly to the implementing institution and managed through a separate bank account
3,"Aid in kind: Donors utilise third party agencies, e.g. NGOs or management companies"
4,Aid in kind: Donors manage funds themselves
