code,name
1,Gender Equality
2,Aid to Environment
3,Participatory Development/Good Governance
4,Trade Development
5,Aid Targeting the Objectives of the Convention on Biological Diversity
6,Aid Targeting the Objectives of the Framework Convention on Climate Change - Mitigation
7,Aid Targeting the Objectives of the Framework Convention on Climate Change - Adaptation
8,Aid Targeting the Objectives of the Convention to Combat Desertification
